object_id_num,object_huldrsadmin_ownerSuppliedName_string,object_urn_string_sort,object_huldrsadmin_adminCategory_text_sort,object_huldrsadmin_ownerCode_string_sort,object_huldrsadmin_billingCode_string,object_mets_type_string,object_huldrsadmin_insertionDate_date,object_huldrsadmin_role_string_sort,object_mets_createDate_date,batch_huldrsadmin_batchDirectoryName_string,batch_id_num,batch_huldrsadmin_loadStartTime_date,batch_huldrsadmin_batchName_string,object_fileCount_num,object_huldrsadmin_adminFlagType_string_sort,object_huldrsadmin_accessFlag_string,object_mods_title_text_sort,object_huldrsadmin_producer_string_sort,object_objectSize_num
446379139,W1FPL429-I1FPL429,"urn-3:FHCL:37148670, urn-3:HUL.DRS.OBJECT:37148669",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:29:08.357Z,,2018-06-22T21:28:11.445Z,batchW1FPL429-1n,489728,2018-06-23T23:29:08.0Z,FHCL.COLL_batchW1FPL429-1n_20180622_172946,303,,R,sagāthavaggasaṃyut pāḷi-tō nissya,Tibetan Buddhist Resource Center,73864647
446379444,W1FPL656-I1FPL656,"urn-3:FHCL:37148674, urn-3:HUL.DRS.OBJECT:37148673",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:30:09.553Z,,2018-06-22T20:51:34.821Z,batchW1FPL656-1n,489730,2018-06-23T23:30:09.0Z,FHCL.COLL_batchW1FPL656-1n_20180622_165226,161,,R,[kaccāyana?] sandhirūpasiddhi pāṭh to samāsrūpasiddhi---mātikā nissaya--chan nissaya,Tibetan Buddhist Resource Center,38279042
446379607,W1FPL308-I1FPL308,"urn-3:FHCL:37148676, urn-3:HUL.DRS.OBJECT:37148675",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:30:10.172Z,,2018-06-22T20:52:07.528Z,batchW1FPL308-1n,489731,2018-06-23T23:30:10.0Z,FHCL.COLL_batchW1FPL308-1n_20180622_165303,181,,R,sut mahāvā pāḷi-tō,Tibetan Buddhist Resource Center,56180511
446379790,W1FPL6571-I1FPL6571,"urn-3:FHCL:37148678, urn-3:HUL.DRS.OBJECT:37148677",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:31:04.760Z,,2018-06-22T20:54:05.220Z,batchW1FPL6571-1n,489732,2018-06-23T23:31:05.0Z,FHCL.COLL_batchW1FPL6571-1n_20180622_165415,26,,R,peta vatthu pāḷi-tō--vimāna vatthu pāḷi-tō--dhammapada pāḷi-tō*--buddhavaṃ pāḷi-tō--suttanipāt pāḷi-tō--khuddaka pāḷi-tō--cariyāpiṭaka pāḷi-tō--udān pāḷi-tō,Tibetan Buddhist Resource Center,7344008
446379818,W1FPL657-I1FPL657,"urn-3:FHCL:37148680, urn-3:HUL.DRS.OBJECT:37148679",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:31:05.884Z,,2018-06-22T20:53:04.366Z,batchW1FPL657-1n,489733,2018-06-23T23:31:06.0Z,FHCL.COLL_batchW1FPL657-1n_20180622_165331,80,,R,[jāt] vidhūirrajāt nissaya,Tibetan Buddhist Resource Center,26185221
446379900,W1FPL43-I1FPL43,"urn-3:FHCL:37148684, urn-3:HUL.DRS.OBJECT:37148683",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:31:08.903Z,,2018-06-22T21:30:47.764Z,batchW1FPL43-1n,489735,2018-06-23T23:31:09.0Z,FHCL.COLL_batchW1FPL43-1n_20180622_173147,245,,R,cuḷavā atthakathā nisya--parivā aṭṭhakathā nisya,Tibetan Buddhist Resource Center,75456762
446380147,W1FPL560-I1FPL560,"urn-3:FHCL:37148686, urn-3:HUL.DRS.OBJECT:37148685",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:31:09.369Z,,2018-06-22T21:36:41.898Z,batchW1FPL560-1n,489736,2018-06-23T23:31:09.0Z,FHCL.COLL_batchW1FPL560-1n_20180622_173820,264,,R,pārājikaṅ bhikkhu vibhaṅ: pāḷi-tō--pācit bhikkhu vibhaṅ pāḷi-tō,Tibetan Buddhist Resource Center,74571390
446380413,W1FPL4306-I1FPL4306,"urn-3:FHCL:37148682, urn-3:HUL.DRS.OBJECT:37148681",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:31:07.949Z,,2018-06-22T21:32:19.588Z,batchW1FPL4306-1n,489734,2018-06-23T23:31:08.0Z,FHCL.COLL_batchW1FPL4306-1n_20180622_173225,16,,R,galun pran nissya--saddā ’a khyaṅ: ’a yā chui rui:--saṅ myui: chay pā:--piṭakat samuiṅ:*--gaḷun pran nissya,Tibetan Buddhist Resource Center,3809283
446380431,W1FPL309-I1FPL309,"urn-3:FHCL:37148688, urn-3:HUL.DRS.OBJECT:37148687",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:32:09.415Z,,2018-06-22T20:54:24.963Z,batchW1FPL309-1n,489737,2018-06-23T23:32:09.0Z,FHCL.COLL_batchW1FPL309-1n_20180622_165557,294,,R,parivā aṭṭhakathā pāṭh*--cūḷavā aṭhakathā pāṭh--mahāvā aṭhakathā pāṭh--bhikkhūnīvibhaṅ aṭhakathā pāṭh--pācit aṭhakathā pāṭh,Tibetan Buddhist Resource Center,96206896
446380727,W1FPL561-I1FPL561,"urn-3:FHCL:37148690, urn-3:HUL.DRS.OBJECT:37148689",Buddhist Digital Resource Center,FHCL.COLL,FHCL.COLL.TBRC_0001,PDS DOCUMENT,2018-06-23T23:33:11.482Z,,2018-06-22T21:39:51.71Z,batchW1FPL561-1n,489738,2018-06-23T23:33:11.0Z,FHCL.COLL_batchW1FPL561-1n_20180622_174125,198,,R,dhammapada aṭhakathā nissya,Tibetan Buddhist Resource Center,54892882
